cf_id,title,category,affected_system,layer,failure_mode,trigger,observed_symptom,root_cause,detection,impact,mitigation,reference,issue,status,tier,taxonomy,evidence_level
CF-0001,"skip_memory=True: cron succeeds, memory empty, exit code 0",Memory blindness,Hermes Agent,L1,Memory Injection Lost,Cron jobs with skip_memory=True silently discard all memory operations,"skip_memory=True: cron succeeds, memory empty, exit code 0",Cron jobs with skip_memory=True silently discard all memory operations,CADVP CC-1 memory availability check,False belief of successful knowledge transfer; context unawareness,Fixed in PR #45769,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/38647,Fixed,A,memory,reproduced
CF-0002,memory() tool exposed but unavailable at runtime,Tool surface illusion,Hermes Agent,L1,Tool Surface Illusion (Memory),Tool registry advertises memory tool but skip_memory blocks its execution,memory() tool exposed but unavailable at runtime,Tool registry advertises memory tool but skip_memory blocks its execution,CADVP CC-1 memory availability check,Task proceeds with false success; tool result fabricated,Fixed in PR #45769,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/43367,Fixed,A,execution,reproduced
CF-0003,skip_memory makes mem0 silently unusable,Memory blindness,Hermes Agent,L1,Memory Provider Silently Disabled,skip_memory flag disables mem0 provider without any runtime warning,skip_memory makes mem0 silently unusable,skip_memory flag disables mem0 provider without any runtime warning,CADVP CC-1 memory availability check,False belief of successful knowledge transfer; context unawareness,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/9763,Confirmed,A,memory,reported
CF-0004,skip_memory blocks fact_store from all cron jobs,Tool surface illusion,Hermes Agent,L1,Tool Surface Illusion (fact_store),fact_store tool listed but unreachable because skip_memory gates all memory access,skip_memory blocks fact_store from all cron jobs,fact_store tool listed but unreachable because skip_memory gates all memory access,CADVP CC-1 memory availability check,Task proceeds with false success; tool result fabricated,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/34094,Confirmed,A,execution,reported
CF-0005,Memory tool exposed but unavailable at runtime,Tool surface illusion,Hermes Agent,L1,"Tool Surface Illusion (Memory, duplicate)",Same root cause as CF-002: tool surface promise broken by skip_memory,Memory tool exposed but unavailable at runtime,Same root cause as CF-002: tool surface promise broken by skip_memory,CADVP CC-1 memory availability check,Task proceeds with false success; tool result fabricated,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/38129,Confirmed,A,execution,reported
CF-0006,"Maintainer aggregation: read by default, write with opt-in",Memory blindness,Hermes Agent,L1,Cron Memory Contract Ambiguity,"Cron memory contract ambiguous: read always, write behind opt-in flag creates silent expectation gap","Maintainer aggregation: read by default, write with opt-in","Cron memory contract ambiguous: read always, write behind opt-in flag creates silent expectation gap",CADVP CC-1 memory availability check,False belief of successful knowledge transfer; context unawareness,Fixed in PR #45769,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/45768,Fixed,A,memory,reproduced
CF-0007,post_tool_call registered but turn_id never passed → silent no-op,Hook not firing,Hermes Agent,L2,Hook Not Firing (missing param),Hook framework omits turn_id param; plugin registers but never fires,post_tool_call registered but turn_id never passed → silent no-op,Hook framework omits turn_id param; plugin registers but never fires,CADVP CC-3 hook execution counter,Security/quality guard silently disabled; policy gap undetected,Fixed in PR #60622,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/60578,Fixed,A,communication,reproduced
CF-0008,session_id not propagated to pre_tool_call → silent no-op,Hook not firing,Hermes Agent,L2,Hook Not Firing (session_id missing),pre_tool_call hook registered but session_id never passed to plugin,session_id not propagated to pre_tool_call → silent no-op,pre_tool_call hook registered but session_id never passed to plugin,CADVP CC-3 hook execution counter,Security/quality guard silently disabled; policy gap undetected,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/34618,Confirmed,A,communication,reported
CF-0009,HERMES_CRON_SESSION env var leaks to interactive sessions,Env contamination,Hermes Agent,L3,Cron Env Leak to Interactive Session,Environment variable intended for cron scope contaminates regular sessions,HERMES_CRON_SESSION env var leaks to interactive sessions,Environment variable intended for cron scope contaminates regular sessions,CADVP CC-2 config vs runtime diff,False belief of successful operation; operator unaware of failure,Fixed in PR #60611,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/60350,Fixed,A,configuration,reproduced
CF-0010,FEISHU/WECOM env vars unconditionally override enabled:false,Config override,Hermes Agent,L3,Env Override Bypasses enabled:false,Environment variables bypass config.yaml enabled:false gates,FEISHU/WECOM env vars unconditionally override enabled:false,Environment variables bypass config.yaml enabled:false gates,CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Fixed in PR #60621,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/47804,Fixed,A,configuration,reproduced
